text,label
Access granted to Analytics Server.,approved
Manager approval not received for HR Portal.,rejected
Unable to process your request for Finance Dashboard.,manual
Request could not be understood.,manual
Request could not be understood.,manual
Request could not be understood.,manual
Permission approved for VPN.,approved
You can now login to Analytics Server.,approved
Manual review required for Analytics Server.,manual
Request rejected for CRM System.,rejected
Manager approval not received for VPN.,rejected
Manual review required for Finance Dashboard.,manual
Your access request to Analytics Server has been approved.,approved
You can now login to CRM System.,approved
Request could not be understood.,manual
Insufficient information provided.,manual
Manager approval not received for CRM System.,rejected
Manager approval not received for VPN.,rejected
Access successfully enabled for Finance Dashboard.,approved
You are not authorized to access Analytics Server.,rejected
Manual review required for VPN.,manual
Access successfully enabled for HR Portal.,approved
Manual review required for VPN.,manual
You can now login to Finance Dashboard.,approved
Manual review required for VPN.,manual
Your access request to VPN has been rejected.,rejected
Your access request to VPN has been approved.,approved
Your access request to Finance Dashboard has been rejected.,rejected
You are not authorized to access CRM System.,rejected
Manager approval not received for HR Portal.,rejected
Access granted to CRM System.,approved
Access denied due to missing approval.,rejected
You are not authorized to access Analytics Server.,rejected
You can now login to HR Portal.,approved
Manual review required for HR Portal.,manual
Request rejected for VPN.,rejected
Permission approved for VPN.,approved
Access granted to Analytics Server.,approved
Your access request to VPN has been approved.,approved
Unable to process your request for Finance Dashboard.,manual
Manager approval not received for HR Portal.,rejected
Your access request to HR Portal has been rejected.,rejected
Access granted to CRM System.,approved
Request rejected for VPN.,rejected
You are not authorized to access HR Portal.,rejected
Access granted to VPN.,approved
Manager approval not received for Analytics Server.,rejected
You can now login to VPN.,approved
Insufficient information provided.,manual
Access denied due to missing approval.,rejected
Access denied due to missing approval.,rejected
Manager approval not received for Analytics Server.,rejected
Permission approved for CRM System.,approved
Access successfully enabled for CRM System.,approved
Access successfully enabled for CRM System.,approved
Access successfully enabled for HR Portal.,approved
Manager approval not received for Analytics Server.,rejected
Request rejected for VPN.,rejected
You are not authorized to access VPN.,rejected
You can now login to Analytics Server.,approved
Manual review required for CRM System.,manual
You can now login to VPN.,approved
You can now login to HR Portal.,approved
Access successfully enabled for Finance Dashboard.,approved
You are not authorized to access Finance Dashboard.,rejected
You can now login to VPN.,approved
Request could not be understood.,manual
Manager approval not received for CRM System.,rejected
Request could not be understood.,manual
You are not authorized to access CRM System.,rejected
Your access request to Analytics Server has been approved.,approved
Permission approved for Finance Dashboard.,approved
You can now login to Analytics Server.,approved
Permission approved for VPN.,approved
Request could not be understood.,manual
Access successfully enabled for VPN.,approved
Please contact administrator.,manual
Insufficient information provided.,manual
Your access request to CRM System has been rejected.,rejected
Your access request to VPN has been rejected.,rejected
You are not authorized to access HR Portal.,rejected
Request could not be understood.,manual
Manual review required for CRM System.,manual
Your access request to Analytics Server has been rejected.,rejected
Please contact administrator.,manual
Please contact administrator.,manual
Insufficient information provided.,manual
Permission approved for HR Portal.,approved
Request rejected for VPN.,rejected
Unable to process your request for VPN.,manual
You can now login to VPN.,approved
Access granted to CRM System.,approved
Request rejected for Finance Dashboard.,rejected
Access denied due to missing approval.,rejected
Your access request to CRM System has been approved.,approved
You are not authorized to access Finance Dashboard.,rejected
Insufficient information provided.,manual
You are not authorized to access VPN.,rejected
Access successfully enabled for Finance Dashboard.,approved
Insufficient information provided.,manual
Access successfully enabled for HR Portal.,approved
Your access request to HR Portal has been rejected.,rejected
You are not authorized to access Finance Dashboard.,rejected
You are not authorized to access HR Portal.,rejected
Insufficient information provided.,manual
You are not authorized to access VPN.,rejected
Your access request to VPN has been rejected.,rejected
Access successfully enabled for VPN.,approved
Please contact administrator.,manual
Your access request to HR Portal has been rejected.,rejected
You can now login to Analytics Server.,approved
Access successfully enabled for Analytics Server.,approved
Your access request to Analytics Server has been rejected.,rejected
Permission approved for CRM System.,approved
You can now login to HR Portal.,approved
Unable to process your request for Analytics Server.,manual
Request could not be understood.,manual
Unable to process your request for Analytics Server.,manual
Insufficient information provided.,manual
Access successfully enabled for Analytics Server.,approved
Unable to process your request for CRM System.,manual
Access successfully enabled for Analytics Server.,approved
Access granted to CRM System.,approved
Your access request to Analytics Server has been approved.,approved
